DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,
2019/06/18 01:55:02,6/18/19,1:55:02,0.08,38.451,0.2,141.895,0.53,50.9,0.8,0.8V,E OFF MIYAGI PREF  A,
2019/06/18 01:55:13,6/18/19,1:55:13,0.17,37.428,0.4,141.395,0.72,26.8,1.4,0.9v,E OFF FUKUSHIMA PREF  A,
2019/06/18 01:56:03,6/18/19,1:56:03,0.08,35.235,0.27,139.022,0.21,4.4,0.7,0.1V,HAKONE REGION  k,
2019/06/18 01:56:19,6/18/19,1:56:19,0.06,33.714,0.2,130.225,0.21,10.7,0.7,0.1v,NW OFF KYUSHU  A,
2019/06/18 01:57:01,6/18/19,1:57:01,0.08,35.236,0.26,139.021,0.22,4.2,0.8,0.0V,HAKONE REGION  A,
2019/06/18 01:58:46,6/18/19,1:58:46,0.04,33.016,0.1,131.17,0.12,9.9,0.6,0.0V,NE KUMAMOTO PREF  A,
2019/06/18 02:00:34,6/18/19,2:00:34,0.05,35.57,0.17,136.385,0.18,12.7,0.7,0.3V,SHIGA GIFU BORDER REGION,A
2019/06/18 02:00:50,6/18/19,2:00:50,0.23,37.138,0.62,141.375,0.83,20,2.5,0.9v,E OFF FUKUSHIMA PREF  A,
2019/06/18 02:02:38,6/18/19,2:02:38,0.12,32.235,0.39,131.837,0.56,31,0.8,0.9V,HYUGANADA REGION  A,
2019/06/18 02:02:53,6/18/19,2:02:53,0.03,33.985,0.09,135.19,0.15,8.1,0.4,0.7V,CENTRAL WAKAYAMA PREF  A,
2019/06/18 02:04:54,6/18/19,2:04:54,0.12,38.767,0.28,141.754,0.8,51.7,1.1,0.3V,KINKAZAN REGION  k,
2019/06/18 02:05:48,6/18/19,2:05:48,0.1,44.73,0.34,142.097,0.6,0,,0.9V,SOYA REGION  k,
2019/06/18 02:06:01,6/18/19,2:06:01,0.09,44.732,0.32,142.099,0.57,0,,1.0V,SOYA REGION  k,
2019/06/18 02:07:00,6/18/19,2:07:00,0.09,44.729,0.31,142.103,0.56,0,,0.7V,SOYA REGION  k,
2019/06/18 02:07:39,6/18/19,2:07:39,0.27,35.779,0.54,140.896,1.16,12.6,1.6,1.2V,NEAR CHOSHI CITY  A,
2019/06/18 02:07:57,6/18/19,2:07:57,0.29,31.919,0.52,131.149,0.54,15,1.9,-0.5v,SOUTHERN MIYAZAKI PREF  a,
2019/06/18 02:08:07,6/18/19,2:08:07,0.04,34.274,0.08,132.058,0.14,17.4,0.4,0.4V,YAMAGUCHI PREF  A,
2019/06/18 02:11:06,6/18/19,2:11:06,0.1,31.331,0.31,130.627,0.24,9.6,2.1,0.3v,SATSUMA PENINSULA REGION,A
2019/06/18 02:11:25,6/18/19,2:11:25,0.37,40.264,2,144.409,1.53,48,,2.1V,FAR E OFF SANRIKU  k,
2019/06/18 02:11:58,6/18/19,2:11:58,0.07,38.883,0.21,140.842,0.22,8.6,1,0.1v,NORTHERN MIYAGI PREF  k,
2019/06/18 02:14:06,6/18/19,2:14:06,0.1,36.776,0.38,138.405,0.52,6.8,1.6,-0.1V,NORTHERN NAGANO PREF  k,
2019/06/18 02:16:46,6/18/19,2:16:46,0.05,32.633,0.29,132.269,0.14,29.3,1,1.2V,HYUGANADA REGION  A,
2019/06/18 02:20:28,6/18/19,2:20:28,0.03,38.981,0.14,140.892,0.15,6.5,0.7,2.7V,SOUTHERN IWATE PREF  K,
2019/06/18 02:21:01,6/18/19,2:21:01,0.12,44.733,0.4,142.099,0.75,0,,-0.1v,SOYA REGION  k,
2019/06/18 02:21:20,6/18/19,2:21:20,0.14,35.986,0.5,140.04,0.64,59.7,1.1,0.2V,SOUTHERN IBARAKI PREF  k,
2019/06/18 02:22:39,6/18/19,2:22:39,0.15,37.248,0.45,140.444,0.6,84.3,1.2,1.0V,MID FUKUSHIMA PREF  A,
2019/06/18 02:24:06,6/18/19,2:24:06,0.06,33.737,0.2,135.076,0.18,39.1,0.5,0.0V,S PART OF KII CHANNEL  k,
2019/06/18 02:24:44,6/18/19,2:24:44,0.19,42.726,0.54,141.96,0.57,34.9,2,1.1v,ISHIKARI DEPRESSION  A,
2019/06/18 02:28:30,6/18/19,2:28:30,0.08,34.792,0.21,137.823,0.18,16.6,0.7,0.6V,SW SHIZUOKA PREF  k,
2019/06/18 02:28:44,6/18/19,2:28:44,0.06,34.752,0.18,137.527,0.15,30.9,0.5,0.4V,HAMANAKO LAKE REGION  k,
2019/06/18 02:34:00,6/18/19,2:34:00,0.27,24.148,0.55,123.718,0.73,20.8,1.9,0.9v,NEAR ISHIGAKIJIMA ISLAND,k
2019/06/18 02:35:27,6/18/19,2:35:27,0.39,37.288,1.06,142.061,1.63,19,,1.8V,E OFF FUKUSHIMA PREF  k,
2019/06/18 02:35:44,6/18/19,2:35:44,0.05,37.024,0.09,140.655,0.18,12.5,0.5,0.3V,EASTERN FUKUSHIMA PREF  k,
2019/06/18 02:37:45,6/18/19,2:37:45,0.13,37.209,0.28,141.194,0.67,30.1,0.8,1.5V,E OFF FUKUSHIMA PREF  A,
2019/06/18 02:39:20,6/18/19,2:39:20,0.03,35.227,0.1,136.463,0.12,16.7,0.4,0.9V,SHIGA GIFU BORDER REGION,A
2019/06/18 02:40:17,6/18/19,2:40:17,0.31,35.611,0.79,140.429,1.33,54.5,2.7,0.5V,CENTRAL CHIBA PREF  k,
2019/06/18 02:45:25,6/18/19,2:45:25,0.24,24.939,0.69,124.065,0.55,1,,0.8v,NW OFF ISHIGAKIJIMA IS  k,
2019/06/18 02:48:52,6/18/19,2:48:52,0.1,34.911,0.24,137.787,0.26,22.2,0.9,0.9v,SW SHIZUOKA PREF  A,
2019/06/18 02:52:53,6/18/19,2:52:53,0.05,32.623,0.12,131.274,0.15,11.9,0.6,0.0V,NORTHERN MIYAZAKI PREF  A,
2019/06/18 02:55:15,6/18/19,2:55:15,0.15,34.008,0.7,135.32,1.03,13,,0.1v,NW WAKAYAMA PREF  a,
2019/06/18 02:56:03,6/18/19,2:56:03,0.08,32.715,0.18,130.053,0.18,13.9,1.1,-0.4V,NEAR UNZENDAKE  k,
2019/06/18 02:56:07,6/18/19,2:56:07,0.04,32.015,0.12,129.727,0.23,11.1,1.1,1.1V,W OFF AMAKUSA ISLAND  A,
2019/06/18 03:02:24,6/18/19,3:02:24,0.06,35.516,0.17,137.747,0.2,12.4,0.8,0.2V,SOUTHERN NAGANO PREF  A,
