DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,,,,,,,,,,,
2019-06-18 06:04:00,6/18/19,6:04:13,0.103,34.2431,0.4,139.1648,0.7,7.3,0.9,1.6,,6/19/19 10:42,6/19/19,42:03.1,0.247,35.2671,1.6,135.8065,1.4,7.3,3.3,0.2
2019-06-18 06:14:00,6/18/19,6:14:49,0.046,36.7091,0.2,140.6108,0.4,8.2,0.5,0.6,,6/19/19 10:43,6/19/19,43:23.6,0.092,40.1353,0.4,141.5278,0.4,9.2,1.1,0.3
2019-06-18 06:17:00,6/18/19,6:17:07,0.065,32.6239,0.2,131.2703,0.3,12.1,0.7,0.1,,6/19/19 10:48,6/19/19,48:38.2,0.051,38.6322,0.4,139.4282,0.3,10.5,0.7,1.7
2019-06-18 06:24:00,6/18/19,6:24:12,0.064,35.904,0.3,137.6286,0.4,8.3,0.8,0.4,,6/19/19 10:52,6/19/19,52:30.5,0.084,34.7746,2.2,141.4702,0.6,31.4,1.6,2.7
2019-06-18 06:26:00,6/18/19,6:26:10,0.031,33.1842,0.2,132.6482,0.2,33.6,0.3,1.9,,6/19/19 10:54,6/19/19,54:26.3,0.041,38.6535,0.3,139.5002,0.2,12.6,0.5,1.9
2019-06-18 06:32:00,6/18/19,6:32:51,0.166,31.6354,0.9,131.5126,1.9,43.3,1.4,1.2,,6/19/19 10:56,6/19/19,56:00.9,0.07,38.5656,0.4,139.4034,0.4,10.2,0.9,1.6
2019-06-18 06:37:00,6/18/19,6:37:50,0.028,36.2121,0.3,137.5642,0.2,3.3,1,0.6,,6/19/19 10:57,6/19/19,57:38.8,0.028,38.6271,0.2,139.4495,0.1,12.3,0.4,2.1
2019-06-18 06:44:00,6/18/19,6:44:10,0.032,36.9213,0.1,140.6165,0.2,18,0.3,1.8,,6/19/19 11:00,6/19/19,00:14.4,0.211,38.5662,1.2,139.4051,0.8,9,2.5,1.2
2019-06-18 07:00:00,6/18/19,7:00:34,0.028,32.1929,0.2,130.3931,0.2,7.7,0.6,1,,6/19/19 11:00,6/19/19,00:26.9,0.043,35.0657,0.2,137.8959,0.2,11.3,0.4,0.1
2019-06-18 07:10:00,6/18/19,7:10:44,0.048,32.3201,0.3,130.4398,0.3,9.1,1,0.5,,6/19/19 11:04,6/19/19,04:06.4,0.024,33.7653,0.2,135.0016,0.1,38.8,0.3,1.9
2019-06-18 07:14:00,6/18/19,7:14:11,0.05,36.2682,0.2,140.477,0.3,52.3,0.4,2.6,,6/19/19 11:04,6/19/19,04:45.8,0.175,38.607,1,139.4784,0.9,10,1.2,1.3
2019-06-18 07:16:00,6/18/19,7:16:45,0.173,30.592,0.7,131.3158,1.8,21.9,2.1,1.8,,6/19/19 11:04,6/19/19,04:57.4,0.237,38.5673,0.8,142.0845,1.8,25.8,3,1.3
2019-06-18 07:19:00,6/18/19,7:19:17,0.065,36.8383,0.3,140.6199,0.5,9.2,0.7,0.8,,6/19/19 11:14,6/19/19,14:01.8,0.447,35.996,1.5,138.0575,1.1,11.7,3.5,-0.2
2019-06-18 07:22:00,6/18/19,7:22:07,0.014,40.0538,0.1,140.6012,0.1,7,0.4,3.9,,6/19/19 11:15,6/19/19,15:19.9,0.03,38.6524,0.2,139.462,0.2,12.8,0.4,2.4
2019-06-18 07:23:00,6/18/19,7:23:34,0.1,36.4397,0.7,141.0861,1.7,41.5,2.2,1.8,,6/19/19 11:16,6/19/19,15:59.6,0.152,35.6214,0.4,140.1588,0.6,65.4,1.4,1.9
2019-06-18 07:26:00,6/18/19,7:26:28,0.026,36.0165,0.2,138.0431,0.1,5.4,0.4,0.2,,6/19/19 11:19,6/19/19,19:48.9,0.173,38.6227,1,139.4667,1,13.1,1.2,1.2
2019-06-18 07:27:00,6/18/19,7:27:45,0.075,35.9059,0.3,137.6271,0.5,7.1,1.7,0,,6/19/19 11:28,6/19/19,28:15.8,0.181,34.8207,0.6,138.9257,0.9,9.6,1.8,0.2
2019-06-18 07:29:00,6/18/19,7:29:51,0.031,36.8337,0.2,140.6248,0.3,9.6,0.5,1.9,,6/19/19 11:29,6/19/19,29:58.4,0.103,41.8909,0.8,140.5608,0.6,10.5,1.4,1.2
2019-06-18 07:31:00,6/18/19,7:31:57,0.243,36.6991,0.9,140.6782,1.6,8.5,2.4,0.2,,6/19/19 11:35,6/19/19,35:48.1,0.091,31.1735,0.5,131.5993,0.6,23.6,0.8,4.4
2019-06-18 07:32:00,6/18/19,7:32:34,0.092,36.8416,0.6,140.61,0.9,6.9,0.9,0.3,,6/19/19 11:43,6/19/19,43:54.9,0.034,38.6738,0.2,139.5171,0.2,14,0.4,2.1
2019-06-18 07:33:00,6/18/19,7:33:25,0.037,36.8406,0.1,140.602,0.2,7.9,0.3,-0.4,,6/19/19 11:45,6/19/19,45:09.3,0.314,38.6125,1.7,139.4785,1.8,13.3,1.6,1.1
2019-06-18 07:35:00,6/18/19,7:35:01,0.6,36.189,1.3,142.0029,2.7,9.2,7.4,2.4,,6/19/19 11:47,6/19/19,47:04.1,0.039,38.5964,0.3,139.4429,0.2,12.5,0.4,2
